YEAR,MONTH,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,QV2M,WS2M,GWETTOP
1995,1,19.53,21.36,17.68,19.52,27.32,15.69,0.01,80.76,12.8,1.85,0.62
1995,1,17.67,20.32,16.36,18.34,25.94,16.46,0.04,79.18,11.79,2.12,0.62
1995,1,19.1,20.69,17.08,18.88,26.43,16.69,0,81.1,12.36,1.52,0.62
1995,1,19.64,17.64,12.95,15.3,23.11,13.31,0,75.19,9.47,2.47,0.62
1995,1,18.96,15.32,8.12,11.72,21.84,9.98,0,64.23,6.83,2.44,0.61
1995,1,20.54,13.58,7.58,10.58,21.22,7.54,0,69.87,6.59,1.47,0.61
1995,1,19.66,15.78,9.68,12.73,22.82,9.7,0,69.34,7.57,0.76,0.61
1995,1,20.13,17.41,12.44,14.93,24.89,11.04,0,74.61,9.13,0.96,0.6
1995,1,19.74,18.83,14.09,16.46,25.85,12.43,0,75.73,10.16,0.86,0.6
1995,1,20.22,20.54,14.98,17.76,27.3,13.62,0,72.61,10.8,0.73,0.6
1995,1,19.93,21.39,15.3,18.35,28.5,14.49,0,70.59,11.03,0.78,0.59
1995,1,19.85,21.14,16.84,18.99,28.51,15.56,0.02,78.86,12.16,1.83,0.59
1995,1,19.85,19.01,14.63,16.82,26.41,13.06,0,78.35,10.55,1.75,0.59
1995,1,20.12,19.1,15.16,17.13,26.02,13.26,0,80.06,10.91,1.59,0.58
1995,1,20.08,19.88,15.77,17.83,26.31,14.22,0,79.4,11.31,1.51,0.58
1995,1,14.37,19.58,15.83,17.71,26.39,13.98,0.02,80.33,11.34,1.69,0.58
1995,1,16.94,19.23,14.78,17,26.39,13.37,0,78,10.61,1.39,0.57
1995,1,19.55,20.28,15.49,17.89,26.7,14.36,0,76,11.12,1.17,0.57
1995,1,21.09,21,16.16,18.58,28.2,14.54,0,76.02,11.64,1.02,0.57
1995,1,19.61,21.42,16.71,19.07,28.7,14.94,0,76.79,12.08,1.08,0.57
1995,1,19.7,22.91,16.73,19.82,30.51,16.66,0,71.57,12.11,1.06,0.56
1995,1,19.78,23.6,17.46,20.53,30.65,17.53,0,71.04,12.7,0.74,0.56
1995,1,19.45,24.44,18.65,21.55,30.21,20.15,0.11,71.8,13.67,1.12,0.56
1995,1,17.09,19.41,14.54,16.97,23.95,15.48,0.43,74.65,10.5,2.69,0.56
1995,1,13.86,17.58,13.64,15.61,22.93,13.44,0.57,78.55,9.92,1.84,0.56
1995,1,19.2,20.83,16.79,18.81,26.95,16.37,0.02,79.32,12.11,1.86,0.55
1995,1,18.76,19.81,15.9,17.85,24.88,15.78,0.5,79.39,11.44,2.19,0.55
1995,1,13.86,16.07,12.32,14.2,18.63,12.64,0.03,79,9.05,2.11,0.55
1995,1,13.77,15.51,11.35,13.43,19.66,10.99,0,77.4,8.53,1.21,0.56
1995,1,17.32,17.91,13.23,15.57,23.87,14.43,0.01,75.52,9.58,2.23,0.55
1995,1,16.25,16.69,10.13,13.41,23.61,11.82,0,67.39,7.8,2.87,0.54
1995,2,19.71,15.16,8.1,11.63,22.55,10.48,0,64.52,6.81,2.79,0.54
1995,2,22.69,14.94,8.53,11.73,22.92,8.53,0,68.82,7,2.14,0.54
1995,2,23.37,16.76,11.09,13.92,25.27,9.18,0,72.12,8.36,1.86,0.54
1995,2,22.25,16.2,9.72,12.96,23.7,10.81,0,68.87,7.57,2.48,0.53
1995,2,21.9,15.07,7.64,11.36,23.05,8.73,0,65.1,6.58,2.07,0.53
1995,2,21.38,16.16,9.6,12.88,24.28,9.07,0,68.43,7.55,1.83,0.53
1995,2,22.74,17.36,11.13,14.24,25.55,10.08,0,70.45,8.35,1.43,0.52
1995,2,22.04,19.5,12.63,16.07,28.8,11.73,0,68.64,9.26,0.99,0.52
1995,2,21.09,21.18,13.99,17.59,29.55,13.61,0,66.73,10.13,1.6,0.52
1995,2,21.01,22.47,14.9,18.69,30.04,15.68,0.04,65.79,10.75,2.2,0.51
1995,2,22.73,23.65,15.4,19.53,31.15,17.48,0,63.21,11.11,1.7,0.51
1995,2,19.92,24.48,16.65,20.56,32.58,18.25,0.04,65.23,12.06,1.11,0.5
1995,2,21.48,25.78,16.91,21.34,33.16,19.44,0,60.97,12.26,1.06,0.5
1995,2,23.68,25.66,14.45,20.06,34.43,18.58,0,54.51,10.52,1.14,0.5
1995,2,21.47,23.94,14.6,19.27,33.4,16.24,0.01,59.79,10.61,1.15,0.49
1995,2,23.17,24.99,16.91,20.95,33.42,17.05,0,64.27,12.3,1.16,0.49
1995,2,23.07,25.76,15.92,20.84,34.25,19.74,0,59.05,11.6,1.6,0.49
1995,2,22.94,24.02,11.07,17.54,33.85,16.32,0,49.07,8.44,1.73,0.48
1995,2,22.67,24.55,11.36,17.95,34.45,16.42,0,48.59,8.61,1.28,0.48
1995,2,22.44,25.9,11.68,18.79,34.77,17.95,0,45.3,8.76,0.87,0.48
1995,2,21.84,25.82,13.03,19.42,34.61,16.81,0,49.15,9.58,1.1,0.47
1995,2,21.37,25.47,16.06,20.77,34.46,17.72,0.03,59.41,11.67,1.21,0.47
1995,2,22.1,25.45,17.36,21.41,32.86,19.63,0.02,63.05,12.61,2.76,0.47
1995,2,21.59,22.03,17.91,19.97,25.73,20.09,1.88,78.03,13.03,2.23,0.49
1995,2,22.5,22.97,17.91,20.44,28.69,19.32,0.64,74.84,13.03,2.36,0.48
1995,2,22.16,20.72,15.93,18.33,26.58,16.09,2.28,75.67,11.49,2.38,0.5
1995,2,22.52,22.3,16.71,19.5,30.51,16.63,0.34,73.58,12.09,1.88,0.49
1995,2,22.6,23.59,16.85,20.22,31.46,16.56,0.11,68.89,12.23,2.05,0.48
1995,3,17.66,26.59,15.46,21.03,35.03,19.31,0.11,56.29,11.34,1.31,0.47
1995,3,20.62,26.38,13.69,20.03,35.59,18.46,0.01,50.62,10.04,1.15,0.46
1995,3,20.34,25.1,15.35,20.22,34.13,18,0.01,58.63,11.1,2.32,0.45
1995,3,17.59,21.72,12.03,16.88,29.57,16.1,0,57.28,8.9,3.49,0.44
1995,3,21.82,21.02,11.48,16.25,29.13,14.54,0,57.27,8.63,1.61,0.44
1995,3,19.01,24.26,15.12,19.69,32.98,16.83,0,60.2,10.93,1.47,0.44
1995,3,20.23,27.16,16.59,21.87,35.77,18.8,0,56.33,12.02,1.15,0.43
1995,3,20.64,29.38,17.07,23.22,37.2,20.75,0,50.88,12.42,0.89,0.42
1995,3,21.95,30.15,15.94,23.05,38.9,22.26,0,46.37,11.61,0.88,0.41
1995,3,22.01,29.9,18.69,24.3,38.08,22.76,0.37,54.13,13.79,1.64,0.4
